,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2022-10-13 07:37:53.202000+00:00,100000.18000000,0.00000000,100000.18000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:37:53.202000+00:00,99951.92668000,0.00000000,99951.92668000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:37:53.202000+00:00,100000.18000000,0.00000000,100000.18000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:37:53.202000+00:00,99951.91879000,8.12161080,99943.79717920,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:37:53.202000+00:00,100000.21000000,0.00000000,100000.21000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:37:53.202000+00:00,99944.02090000,0.00000000,99944.02090000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:37:53.202000+00:00,100000.21000000,0.00000000,100000.21000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:37:53.202000+00:00,99944.02090000,0.03006000,99943.99084000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:38:44.921000+00:00,100000.21000000,0.00000000,100000.21000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:38:44.921000+00:00,99944.02090000,0.00000000,99944.02090000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:38:44.921000+00:00,100000.21000000,0.00000000,100000.21000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:38:44.921000+00:00,99944.01304000,8.10628020,99935.90675980,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:38:44.921000+00:00,100000.24000000,0.00000000,100000.24000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:38:44.921000+00:00,99936.14518000,0.00000000,99936.14518000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:38:44.921000+00:00,100000.24000000,0.00000000,100000.24000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:38:44.921000+00:00,99936.14518000,0.03006000,99936.11512000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:22:17.062000+00:00,100000.24000000,0.00000000,100000.24000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:22:17.062000+00:00,99936.14518000,0.00000000,99936.14518000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:22:17.062000+00:00,100000.24000000,0.00000000,100000.24000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:22:17.062000+00:00,99936.13735000,8.09125020,99928.04609980,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
